weight,rmse,precision_at_10,recall_at_10,coverage_at_10,popularity_percentile_at_10
0.0,0.9582366465634382,0.02928240740740741,0.04981781663537715,0.12825396825396826,0.9154036660548731
0.1,0.9609709506595243,0.032175925925925934,0.053686751096525646,0.12634920634920635,0.9159369264435974
0.2,0.9654887848766281,0.03333333333333333,0.05414876170184157,0.14603174603174604,0.9138555784978115
0.3,0.971765274101919,0.03298611111111111,0.05257238454676071,0.18603174603174602,0.902416657842722
0.4,0.9797666205249902,0.03136574074074074,0.05014649950308349,0.25142857142857145,0.8737255282601534
0.5,0.9894509800673779,0.028935185185185185,0.04427346903612935,0.313015873015873,0.8287113511224058
0.6,1.000769494806062,0.025925925925925925,0.040927489924940386,0.3746031746031746,0.772848795825686
0.7,1.013667425751276,0.022106481481481484,0.03418787081613431,0.4273015873015873,0.7166546072756365
0.8,1.028085330525054,0.01828703703703704,0.028238850263777898,0.45396825396825397,0.6670883776883618
0.9,1.0439602349558874,0.014583333333333335,0.023047637366988255,0.46476190476190476,0.6259218816179585
1.0,1.0612267552291763,0.01273148148148148,0.019944222800134147,0.45015873015873015,0.6170310220480965
