model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
mf,"learning_rate=0.01,n_factors=8,regularisation=0.005",val,gini,20.0,0.9565680482069371,864,0,20260903,20260922T171255,1790077415
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,rmse,,0.9794464605485318,943,9988,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,mae,,0.7733595827196073,943,9988,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,precision_at_k,5.0,0.028472222222222225,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,recall_at_k,5.0,0.022380084738465752,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,coverage,5.0,0.08952380952380952,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,mean_popularity,5.0,194.58356481481482,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,popularity_percentile,5.0,0.9278239564214786,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,gini,5.0,0.9826840094062316,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,precision_at_k,10.0,0.02488425925925926,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,recall_at_k,10.0,0.03873107390175463,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,coverage,10.0,0.12634920634920635,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,mean_popularity,10.0,185.3920138888889,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,popularity_percentile,10.0,0.920453903713116,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,gini,10.0,0.974523368606702,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,precision_at_k,20.0,0.0234375,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,recall_at_k,20.0,0.07603780626363532,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,coverage,20.0,0.1707936507936508,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,mean_popularity,20.0,171.4025462962963,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,popularity_percentile,20.0,0.9063816238411219,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.005,n_factors=8,regularisation=0.02",val,gini,20.0,0.9612882128159906,864,0,20260903,20260922T171255,1790077444
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,rmse,,0.9781948784218732,943,9988,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,mae,,0.7725316406819245,943,9988,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,precision_at_k,5.0,0.030555555555555555,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,recall_at_k,5.0,0.024205450164940776,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,coverage,5.0,0.09777777777777778,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,mean_popularity,5.0,201.47083333333333,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,popularity_percentile,5.0,0.930604234316909,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,gini,5.0,0.9784582598471487,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,precision_at_k,10.0,0.02615740740740741,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,recall_at_k,10.0,0.042900615728917076,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,coverage,10.0,0.1473015873015873,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,mean_popularity,10.0,187.8931712962963,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,popularity_percentile,10.0,0.9209413531225,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,gini,10.0,0.968608759553204,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,precision_at_k,20.0,0.023553240740740743,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,recall_at_k,20.0,0.07882970915376555,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,coverage,20.0,0.1892063492063492,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,mean_popularity,20.0,172.09155092592593,864,0,20260903,20260922T171255,1790077462
mf,"learning_rate=0.01,n_factors=8,regularisation=0.02",val,popularity_percentile,20.0,0.9060621235116947,864,0,20260903,20260922T171255,1790077462
