bin_low,bin_high,users,median_history,best_weight,best_precision,precision_at_weight_zero,precision_at_weight_one,fitted_intercept,fitted_slope,fitted_weight
1,20,155,17.0,0.1,0.007096774193548387,0.006451612903225806,0.0032258064516129032,-2.9041828368423,0.2338788755049088,0.09724778215247153
21,40,220,30.0,0.0,0.019545454545454557,0.019545454545454557,0.006363636363636364,-2.9041828368423,0.2338788755049088,0.10899521933956709
41,100,247,66.0,0.3,0.04696356275303638,0.036032388663967574,0.013765182186234824,-2.9041828368423,0.2338788755049088,0.12777304501784667
101,250,213,145.0,0.2,0.04929577464788729,0.04178403755868541,0.02112676056338028,-2.9041828368423,0.2338788755049088,0.1494879840863407
251,100000,29,282.0,0.1,0.08275862068965517,0.07586206896551725,0.041379310344827586,-2.9041828368423,0.2338788755049088,0.17025345266603067
