kind,model_a,model_b,metric,difference,lower,upper,excludes_zero
point,global_mean,,rmse,1.2147071765561839,1.1766429034070796,1.2577480143355428,
point,global_mean,,precision_at_10,0.023254256131350657,0.019693569547452605,0.026704610606784515,
point,user_mean,,rmse,1.1568800141751623,1.1310910776270313,1.1851973658445776,
point,user_mean,,precision_at_10,0.023254256131350657,0.019693569547452605,0.026704610606784515,
point,item_mean,,rmse,1.0909515578073126,1.0563451888572752,1.1321267223260292,
point,item_mean,,precision_at_10,0.043378186358455875,0.03807881087733693,0.048788546255506604,
point,most_popular,,rmse,1.2147071765561839,1.1766429034070796,1.2577480143355428,
point,most_popular,,precision_at_10,0.06562826883684525,0.059185806025292796,0.07278787576089422,
point,content,,rmse,1.1421769262567751,1.117438369194419,1.168737411291704,
point,content,,precision_at_10,0.02006811608954898,0.017052906976744192,0.023170933613309647,
point,item_knn,,rmse,1.0156412782516313,0.9899815991974933,1.0448630147308753,
point,item_knn,,precision_at_10,0.03562268930965786,0.03106808380221155,0.040536441971970705,
point,item_knn_ranking,,rmse,1.1151461438415804,1.0837907447180228,1.154046760264563,
point,item_knn_ranking,,precision_at_10,0.04537550650099051,0.040289561275284456,0.05111730482912387,
point,mf,,rmse,0.9993378617774131,0.9778773915419489,1.0236567427419754,
point,mf,,precision_at_10,0.05222614171717116,0.04664976098293299,0.05802896594684385,
point,mf_ranking,,rmse,1.0104566711776763,0.9894397895857291,1.0336030903826232,
point,mf_ranking,,precision_at_10,0.05189131402380293,0.04606847525025988,0.057722335439909275,
point,hybrid,,rmse,1.0081502986617,0.9865865421742896,1.0320532713248738,
point,hybrid,,precision_at_10,0.05410591171247081,0.04844530550212186,0.0598675258173978,
point,hybrid_frontier,,rmse,1.0225132050131716,1.0006070804602758,1.046302384405347,
point,hybrid_frontier,,precision_at_10,0.05450093756168985,0.04846491228070176,0.06044483388097845,
difference,content,global_mean,rmse,-0.07253025029940874,-0.1127061328415417,-0.039527054858796803,True
difference,content,hybrid,rmse,0.13402662759507547,0.12150972095696778,0.14528305705051925,True
difference,content,hybrid_frontier,rmse,0.11966372124360364,0.10931929244314338,0.12926473328244362,True
difference,content,item_knn,rmse,0.12653564800514394,0.1008543311158558,0.14595982871846522,True
difference,content,item_knn_ranking,rmse,0.02703078241519485,-0.015746979471372453,0.06155770527744686,False
difference,content,item_mean,rmse,0.05122536844946255,0.010145812524325956,0.08472049910561398,True
difference,content,mf,rmse,0.14283906447936207,0.12735136794652843,0.1566208648181119,True
difference,content,mf_ranking,rmse,0.13172025507909896,0.1168319992101249,0.14529183072585164,True
difference,content,most_popular,rmse,-0.07253025029940874,-0.1127061328415417,-0.039527054858796803,True
difference,content,user_mean,rmse,-0.01470308791838728,-0.019584637897498796,-0.009789824919131353,True
difference,global_mean,hybrid,rmse,0.2065568778944842,0.17774004598658794,0.24020877152225611,True
difference,global_mean,hybrid_frontier,rmse,0.19219397154301238,0.16308710883892494,0.22677317240444866,True
difference,global_mean,item_knn,rmse,0.19906589830455268,0.17477676381490906,0.22688456259804707,True
difference,global_mean,item_knn_ranking,rmse,0.09956103271460358,0.07981005095318047,0.12124456976469762,True
difference,global_mean,item_mean,rmse,0.12375561874887128,0.11167142791817354,0.1368423734819045,True
difference,global_mean,mf,rmse,0.21536931477877078,0.18701342199244847,0.2474778452465597,True
difference,global_mean,mf_ranking,rmse,0.2042505053785077,0.17510011630993205,0.23731041648824153,True
difference,global_mean,most_popular,rmse,0.0,0.0,0.0,False
difference,global_mean,user_mean,rmse,0.05782716238102145,0.02674393378113473,0.09683328811660247,True
difference,hybrid,hybrid_frontier,rmse,-0.014362906351471822,-0.016372403349396564,-0.012095724730148728,True
difference,hybrid,item_knn,rmse,-0.007490979589931528,-0.022363494657727967,0.002947226898032329,False
difference,hybrid,item_knn_ranking,rmse,-0.10699584517988062,-0.1389499090182559,-0.07988588859924538,True
difference,hybrid,item_mean,rmse,-0.08280125914561291,-0.11501090553398956,-0.05475824400560145,True
difference,hybrid,mf,rmse,0.008812436884286587,0.005760209797702984,0.011193723400172072,True
difference,hybrid,mf_ranking,rmse,-0.002306372515976513,-0.006338373726046392,0.0015940431591717364,False
difference,hybrid,most_popular,rmse,-0.2065568778944842,-0.24020877152225611,-0.17774004598658794,True
difference,hybrid,user_mean,rmse,-0.14872971551346273,-0.16136839949663911,-0.13506343839268617,True
difference,hybrid_frontier,item_knn,rmse,0.006871926761540295,-0.009782104290199017,0.018560299836220064,False
difference,hybrid_frontier,item_knn_ranking,rmse,-0.0926329388284088,-0.12636133244526146,-0.0643112988581534,True
difference,hybrid_frontier,item_mean,rmse,-0.0684383527941411,-0.10216240301364232,-0.03931702218987636,True
difference,hybrid_frontier,mf,rmse,0.02317534323575841,0.017961273555790545,0.02751421177662274,True
difference,hybrid_frontier,mf_ranking,rmse,0.01205653383549531,0.006461387537813834,0.017316466950293208,True
difference,hybrid_frontier,most_popular,rmse,-0.19219397154301238,-0.22677317240444866,-0.16308710883892494,True
difference,hybrid_frontier,user_mean,rmse,-0.13436680916199092,-0.14521424810508085,-0.12257862090737003,True
difference,item_knn,item_knn_ranking,rmse,-0.09950486558994907,-0.1217060680483467,-0.07779945241810142,True
difference,item_knn,item_mean,rmse,-0.07531027955568137,-0.09853159201956786,-0.0537472934529375,True
difference,item_knn,mf,rmse,0.016303416474218114,0.0071371819111358285,0.028843611857791288,True
difference,item_knn,mf_ranking,rmse,0.005184607073955015,-0.004880647504330126,0.01863510323486909,False
difference,item_knn,most_popular,rmse,-0.19906589830455268,-0.22688456259804707,-0.17477676381490906,True
difference,item_knn,user_mean,rmse,-0.1412387359235312,-0.16136215177917437,-0.11479512033955484,True
difference,item_knn_ranking,item_mean,rmse,0.024194586034267697,0.012090771977274567,0.03584538300910237,True
difference,item_knn_ranking,mf,rmse,0.1158082820641672,0.09001114222537696,0.14543482376634054,True
difference,item_knn_ranking,mf_ranking,rmse,0.1046894726639041,0.07877356658466453,0.13491791985242652,True
difference,item_knn_ranking,most_popular,rmse,-0.09956103271460358,-0.12124456976469762,-0.07981005095318047,True
difference,item_knn_ranking,user_mean,rmse,-0.04173387033358213,-0.07748893351017766,0.0022403617692182305,False
difference,item_mean,mf,rmse,0.0916136960298995,0.0651907098687348,0.12221042951753651,True
difference,item_mean,mf_ranking,rmse,0.0804948866296364,0.05378839972049367,0.11165921138108956,True
difference,item_mean,most_popular,rmse,-0.12375561874887128,-0.1368423734819045,-0.11167142791817354,True
